Total Compensation
188424.36222222226
180788.0869790982
166082.67756061684
147552.18573936517
141263.70172872025
141215.3785571144
140381.59054187225
127421.75279331968
117717.65858902574
112139.68001718225
112051.6151824817
110783.680158004
110765.3913327032
109806.58756692831
108963.58978630723
107319.72769230767
106112.40943204873
105280.81533018878
104515.23494400665
103433.58550627176
102181.79394101881
100179.75876692815
100044.07099747477
99471.11182204491
99315.44936304331
98631.38036585363
96575.36619047615
96191.57823387011
96190.19013988487
94339.59738764046
89994.26061397773
89741.68256691552
89022.8769657349
86123.5476094114
85449.25317039725
78801.34764132547
78586.8298231393
76250.06802153435
75360.38745183885
74304.9332835822
71401.52006042302
70446.35214706276
70016.07113737096
69729.72273740705
67966.75655913982
65945.32768862949
55672.50668269228
51990.63488888887
47968.52290322583
44205.43989478499
42864.05653846154
40771.130277777775
38912.85946523483
30940.465000000004
20493.166617519495
15824.151304347828
